"RB","Species","Season","Est","CI_lower","CI_upper","N_recaptures","RB_N_Hauls","Method","RB_N_Hooks","Ref_area"
"DC","TOP",2022,2866.09660151092,1210.01064984779,3207.32879855182,1,172,"Chapman",NA,NA
"DC","TOP",2018,1728.69992373493,1388.16772043315,2169.37323751301,NA,205,"CPUE-by-seabed area",2009517,"HIMI"
"DC","TOP",2019,1597.26286970692,1298.34582309259,2027.35824150865,NA,282,"CPUE-by-seabed area",768229,"HIMI"
"DC","TOP",2020,1531.84466767898,1239.936875502,1930.82250193509,NA,410,"CPUE-by-seabed area",376345,"HIMI"
"DC","TOP",2021,1495.13266760228,1204.64631024513,1921.00851073545,NA,372,"CPUE-by-seabed area",477803,"HIMI"
"DC","TOP",2022,1651.89237814279,1354.15062604062,2114.79970600505,NA,467,"CPUE-by-seabed area",491265,"HIMI"
"SIR","TOP",2018,746.234060571615,561.095785036162,1104.2882362792,NA,69,"CPUE-by-seabed area",565120,"HIMI"
"SIR","TOP",2019,883.010472384831,628.747308825317,1197.96789883137,NA,80,"CPUE-by-seabed area",65627,"HIMI"
"SIR","TOP",2020,1541.43786477412,1017.47226711256,2230.33170579854,NA,126,"CPUE-by-seabed area",342202,"HIMI"
"SIR","TOP",2022,3413.5688431888,2614.11459202885,4605.62164209803,NA,120,"CPUE-by-seabed area",490491,"HIMI"
